app_temp,azimuth,clouds,dewpt,dhi,dni,elev_angle,ghi,pod,precip_rate,pres,revision_status,rh,slp,snow_rate,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_dir,wind_gust_spd,wind_spd
-9.6,70.4,87,-5.8,0,0,-59.0,0,n,0.0,903,final,94,1027,0.0,0,-5.0,2019-01-01T03:00:00,2019-01-01T00:00:00,1546300800,0.0,7,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",140,6.7,3.1
-9.6,73.6,87,-5.8,0,0,-56.2,0,n,0.0,903,final,94,1027,0.0,0,-5.0,2019-01-01T03:15:00,2019-01-01T00:15:00,1546301700,0.0,6,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",135,3.1,3.1
-9.6,76.8,87,-6.0,0,0,-53.3,0,n,0.0,903,final,93,1027,0.0,0,-5.0,2019-01-01T03:30:00,2019-01-01T00:30:00,1546302600,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",125,3.1,3.1
-9.6,80.1,87,-6.1,0,0,-50.4,0,n,0.0,903,final,92,1027,0.0,0,-5.0,2019-01-01T03:45:00,2019-01-01T00:45:00,1546303500,0.0,4,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",120,3.1,3.1
-9.6,83.3,87,-6.1,0,0,-47.5,0,n,0.0,903,final,92,1027,0.0,0,-5.0,2019-01-01T04:00:00,2019-01-01T01:00:00,1546304400,0.0,4,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",125,3.1,3.1
-9.6,85.7,87,-6.1,0,0,-44.6,0,n,0.0,903,final,92,1027,0.0,0,-5.0,2019-01-01T04:15:00,2019-01-01T01:15:00,1546305300,0.0,4,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",130,3.1,3.1
-9.6,88.1,87,-6.1,0,0,-41.6,0,n,0.0,903,final,92,1027,0.0,0,-5.0,2019-01-01T04:30:00,2019-01-01T01:30:00,1546306200,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",135,3.1,3.1
-9.6,90.5,87,-6.1,0,0,-38.7,0,n,0.0,903,final,92,1027,0.0,0,-5.0,2019-01-01T04:45:00,2019-01-01T01:45:00,1546307100,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",140,3.1,3.1
-9.2,92.9,87,-6.1,0,0,-35.7,0,n,0.0,902,final,92,1026,0.0,0,-5.0,2019-01-01T05:00:00,2019-01-01T02:00:00,1546308000,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",135,2.7,2.7
-8.7,95.0,87,-6.1,0,0,-32.8,0,n,0.0,902,final,92,1026,0.0,0,-5.0,2019-01-01T05:15:00,2019-01-01T02:15:00,1546308900,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",130,2.29,2.29
-8.1,97.1,87,-6.1,0,0,-29.9,0,n,0.0,902,final,92,1026,0.0,0,-5.0,2019-01-01T05:30:00,2019-01-01T02:30:00,1546309800,0.0,4,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",125,2.0,1.9
-7.5,99.2,87,-6.1,0,0,-26.9,0,n,0.0,902,final,92,1026,0.0,0,-5.0,2019-01-01T05:45:00,2019-01-01T02:45:00,1546310700,0.0,4,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",120,2.0,1.5
-7.3,101.3,87,-5.9,0,0,-24.0,0,n,0.0,902,final,93,1026,0.0,0,-4.9,2019-01-01T06:00:00,2019-01-01T03:00:00,1546311600,0.0,4,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",120,2.0,1.5
-6.7,103.4,87,-5.9,0,0,-21.2,0,n,0.0,902,final,93,1026,0.0,0,-4.9,2019-01-01T06:15:00,2019-01-01T03:15:00,1546312500,0.0,4,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",125,2.0,1.16
-5.8,105.4,87,-6.1,0,0,-18.3,0,n,0.0,902,final,92,1026,0.0,0,-5.0,2019-01-01T06:30:00,2019-01-01T03:30:00,1546313400,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",135,2.0,0.83
-4.6,107.5,87,-6.1,0,0,-15.5,0,n,0.0,902,final,92,1026,0.0,0,-5.0,2019-01-01T06:45:00,2019-01-01T03:45:00,1546314300,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",140,2.0,0.5
-5.4,109.5,87,-6.1,0,0,-12.6,0,n,0.0,902,final,90,1026,0.0,0,-4.8,2019-01-01T07:00:00,2019-01-01T04:00:00,1546315200,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",145,2.0,0.75
-5.8,111.7,87,-6.0,0,0,-9.9,0,n,0.0,902,final,89,1026,0.0,0,-4.5,2019-01-01T07:15:00,2019-01-01T04:15:00,1546316100,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",145,2.1,1.0
-6.1,113.8,87,-6.1,0,0,-7.2,0,n,0.0,902,final,87,1026,0.0,0,-4.3,2019-01-01T07:30:00,2019-01-01T04:30:00,1546317000,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",150,2.2,1.25
-6.3,116.0,87,-6.1,0,0,-4.5,0,n,0.0,902,final,85,1026,0.0,0,-4.0,2019-01-01T07:45:00,2019-01-01T04:45:00,1546317900,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",150,2.3,1.5
-6.3,118.2,87,-6.1,0,0,-1.8,0,n,0.0,902,final,85,1026,0.0,0,-4.0,2019-01-01T08:00:00,2019-01-01T05:00:00,1546318800,0.0,5,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",145,2.4,1.5
-6.3,120.6,87,-6.1,12,112,0.7,26,d,0.125,902,final,85,1026,3.125,23,-4.0,2019-01-01T08:15:00,2019-01-01T05:15:00,1546319700,0.5,4,"{'icon': 's06n', 'description': 'Flurries', 'code': 623}",140,2.5,1.5
-6.3,123.0,87,-6.1,24,224,3.1,51,d,0.25,903,final,85,1027,6.25,46,-4.0,2019-01-01T08:30:00,2019-01-01T05:30:00,1546320600,0.5,4,"{'icon': 's06d', 'description': 'Flurries', 'code': 623}",135,2.6,1.5
-6.3,125.4,87,-6.1,36,336,5.6,77,d,0.375,903,final,85,1027,9.375,70,-4.0,2019-01-01T08:45:00,2019-01-01T05:45:00,1546321500,0.5,4,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",130,2.7,1.5
-6.5,127.8,87,-5.4,48,448,8.1,102,d,0.5,903,final,91,1027,12.5,93,-4.2,2019-01-01T09:00:00,2019-01-01T06:00:00,1546322400,0.5,4,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",130,2.8,1.5
-6.3,130.6,87,-6.1,54,501,10.3,140,d,0.5,902,final,85,1026,12.5,62,-4.0,2019-01-01T09:15:00,2019-01-01T06:15:00,1546323300,0.5,4,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",150,3.1,1.5
-6.8,133.3,87,-5.5,60,553,12.4,178,d,0.5,902,final,89,1026,12.5,78,-4.0,2019-01-01T09:30:00,2019-01-01T06:30:00,1546324200,0.6,3,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",155,3.4,1.8
-7.3,136.1,87,-5.1,66,606,14.6,216,d,0.5,902,final,92,1026,12.5,95,-4.0,2019-01-01T09:45:00,2019-01-01T06:45:00,1546325100,0.6,3,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",160,3.7,2.1
-7.1,138.8,87,-5.0,72,659,16.7,254,d,0.5,902,final,91,1026,10.0,112,-3.8,2019-01-01T10:00:00,2019-01-01T07:00:00,1546326000,0.6,3,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",155,4.0,2.22
-7.0,142.0,87,-5.0,75,683,18.4,285,d,0.5,902,final,89,1025,10.0,125,-3.5,2019-01-01T10:15:00,2019-01-01T07:15:00,1546326900,0.7,3,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",150,3.9,2.35
-6.8,145.2,87,-5.1,78,708,20.1,317,d,0.5,902,final,87,1025,10.0,139,-3.3,2019-01-01T10:30:00,2019-01-01T07:30:00,1546327800,0.7,3,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",145,3.8,2.47
-6.7,148.4,87,-5.0,82,732,21.8,348,d,0.5,902,final,86,1025,10.0,153,-3.0,2019-01-01T10:45:00,2019-01-01T07:45:00,1546328700,0.8,3,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",140,3.7,2.6
-6.5,151.7,87,-5.1,85,756,23.5,380,d,0.5,902,final,84,1025,10.0,167,-2.8,2019-01-01T11:00:00,2019-01-01T08:00:00,1546329600,0.8,3,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",150,5.8,2.72
-6.4,155.3,87,-5.1,87,767,24.5,399,d,0.375,901,final,82,1024,7.5,175,-2.5,2019-01-01T11:15:00,2019-01-01T08:15:00,1546330500,0.9,3,"{'icon': 's01d', 'description': 'Light snow', 'code': 600}",155,5.8,2.85
-6.2,158.9,87,-5.1,88,779,25.6,419,d,0.25,901,final,81,1024,5.0,184,-2.3,2019-01-01T11:30:00,2019-01-01T08:30:00,1546331400,0.9,3,"{'icon': 's06d', 'description': 'Flurries', 'code': 623}",165,5.8,2.97
-6.0,162.6,87,-5.1,90,790,26.7,439,d,0.125,901,final,79,1024,2.5,193,-2.0,2019-01-01T11:45:00,2019-01-01T08:45:00,1546332300,1.0,3,"{'icon': 's06d', 'description': 'Flurries', 'code': 623}",170,5.7,3.1
-6.6,166.2,75,-4.8,92,801,27.7,458,d,0.0,901,final,84,1024,0.0,303,-2.5,2019-01-01T12:00:00,2019-01-01T09:00:00,1546333200,1.2,3,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",170,5.7,3.1
-6.4,170.1,79,-4.8,92,804,28.0,464,d,0.0,901,final,83,1024,0.0,277,-2.3,2019-01-01T12:15:00,2019-01-01T09:15:00,1546334100,1.2,3,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",165,3.6,3.1
-6.2,174.0,83,-5.0,93,807,28.4,470,d,0.0,901,final,81,1024,0.0,246,-2.2,2019-01-01T12:30:00,2019-01-01T09:30:00,1546335000,1.1,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",165,3.6,3.1
-6.0,177.9,87,-5.1,93,810,28.7,475,d,0.0,901,final,79,1024,0.0,209,-2.0,2019-01-01T12:45:00,2019-01-01T09:45:00,1546335900,1.1,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",160,7.7,3.1
-6.2,181.8,87,-4.8,94,813,29.0,481,d,0.0,900,final,81,1022,0.0,211,-2.0,2019-01-01T13:00:00,2019-01-01T10:00:00,1546336800,1.1,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",155,8.3,3.35
-6.4,185.7,87,-4.5,93,808,28.5,472,d,0.0,900,final,83,1022,0.0,207,-2.0,2019-01-01T13:15:00,2019-01-01T10:15:00,1546337700,1.0,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",145,9.0,3.59
-6.6,189.6,87,-4.3,92,804,28.0,463,d,0.0,900,final,84,1022,0.0,203,-2.0,2019-01-01T13:30:00,2019-01-01T10:30:00,1546338600,1.0,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",140,9.6,3.84
-6.8,193.4,87,-4.0,91,799,27.5,454,d,0.0,900,final,86,1022,0.0,200,-2.0,2019-01-01T13:45:00,2019-01-01T10:45:00,1546339500,1.0,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",130,10.3,4.09
-6.5,197.3,87,-4.3,91,794,27.0,445,d,0.0,900,final,84,1022,0.0,196,-2.0,2019-01-01T14:00:00,2019-01-01T11:00:00,1546340400,1.0,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",130,10.3,3.72
-6.2,200.9,87,-4.5,89,781,25.8,422,d,0.0,900,final,83,1022,0.0,185,-2.0,2019-01-01T14:15:00,2019-01-01T11:15:00,1546341300,0.9,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",130,10.3,3.34
-5.9,204.4,87,-4.8,87,767,24.6,400,d,0.0,900,final,81,1022,0.0,176,-2.0,2019-01-01T14:30:00,2019-01-01T11:30:00,1546342200,0.9,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",130,10.3,2.97
-5.5,208.0,87,-5.1,84,753,23.3,377,d,0.0,899,final,79,1021,0.0,166,-2.0,2019-01-01T14:45:00,2019-01-01T11:45:00,1546343100,0.8,4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",130,10.3,2.6
